"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"E2f82",0.000868015944908875,0.0446138360558249,0.336,0.285,1,"6","E2f8"
"Adnp",0.000874230458648057,0.045217256250878,0.854,0.825,1,"6","Adnp"
"Snx103",0.000878968313254661,0.0505284573662543,0.312,0.267,1,"6","Snx10"
"Gm48952",0.000888501972397659,0.00828536729324244,0.014,0.005,1,"6","Gm48952"
"Zbtb26",0.000889318417608427,0.0420734938201919,0.235,0.192,1,"6","Zbtb26"
"Tmem151a",0.000899741782137999,0.0186902710630524,0.045,0.027,1,"6","Tmem151a"
"Gm34961",0.000911485229620033,0.0105820232908031,0.02,0.009,1,"6","Gm34961"
"Scoc1",0.000917108331655569,0.0458271063826001,0.353,0.302,1,"6","Scoc"
"Lclat1",0.000924258701366146,0.0478333066066005,0.393,0.339,1,"6","Lclat1"
"Zfp8211",0.000930547127048753,0.0515599478120218,0.292,0.249,1,"6","Zfp821"
"Lmcd1",0.00093630174729647,0.00777293073150203,0.01,0.004,1,"6","Lmcd1"
"Zfp3673",0.000936442397324053,0.0499981043506339,0.546,0.483,1,"6","Zfp367"
"2310014F06Rik1",0.000950168819195777,0.0202054035901117,0.078,0.053,1,"6","2310014F06Rik"
"Gm55771",0.000950434401620108,0.0381893306291974,0.18,0.141,1,"6","Gm5577"
"Gm15245",0.000959679492651893,0.00404946344970135,0.005,0.001,1,"6","Gm15245"
"Arf41",0.000960074721520362,0.0473761006975314,0.765,0.731,1,"6","Arf4"
"4930478L05Rik",0.000963971291180561,0.00737598463309032,0.011,0.004,1,"6","4930478L05Rik"
"Lman12",0.000966445791388143,0.0518214781871368,0.832,0.771,1,"6","Lman1"
"Nostrin",0.000971687466518061,0.0161437768062921,0.04,0.023,1,"6","Nostrin"
"Hnrnph21",0.000987633909684057,0.0493096613213094,0.623,0.565,1,"6","Hnrnph2"
"Gnb41",0.000990559278435348,0.0383448820418176,0.28,0.23,1,"6","Gnb4"
"Cask2",0.00100314900763866,0.0542238357301423,0.851,0.797,1,"6","Cask"
"Glipr11",0.00101434103048403,0.0121369580927673,0.023,0.011,1,"6","Glipr1"
"Tmx3",0.00102708260026205,0.0492368082366117,0.776,0.751,1,"6","Tmx3"
"Habp41",0.0010280608191987,0.0296290278504632,0.118,0.087,1,"6","Habp4"
"Tfpi2",0.00103144893335857,0.0347793241913268,0.204,0.162,1,"6","Tfpi"
"Mybl22",0.00106714749584559,0.0523226139402836,0.48,0.432,1,"6","Mybl2"
"4833412C05Rik",0.00107676354362702,0.00675527211199839,0.009,0.003,1,"6","4833412C05Rik"
"Btnl9",0.00107905408433652,0.00627124326793029,0.009,0.003,1,"6","Btnl9"
"Stambp1",0.00108754085286717,0.026172379050129,0.089,0.062,1,"6","Stambp"
"Fkbp92",0.00109198369898918,0.0480487198632531,0.575,0.517,1,"6","Fkbp9"
"Zhx1",0.00109607473982706,0.0382705499555353,0.169,0.133,1,"6","Zhx1"
"Zfp26",0.00109923101368714,0.0520120665385471,0.556,0.508,1,"6","Zfp26"
"Zfp2662",0.00110079040934277,0.0490238588630654,0.8,0.758,1,"6","Zfp266"
"Zfp6681",0.00110492442442815,0.0387507663307533,0.229,0.186,1,"6","Zfp668"
"Brip1os2",0.00110629151158679,0.0499704922295049,0.664,0.62,1,"6","Brip1os"
"Gm205441",0.00111089338064514,0.00866067818997378,0.015,0.006,1,"6","Gm20544"
"A630001G21Rik",0.00111321509376717,0.0111345930856785,0.022,0.01,1,"6","A630001G21Rik"
"Gm14634",0.0011174126169133,0.0277585790370445,0.079,0.055,1,"6","Gm14634"
"Ociad21",0.00112339248135922,0.0200350227239821,0.055,0.035,1,"6","Ociad2"
"Itga51",0.00114740508272854,0.0442373390315068,0.339,0.287,1,"6","Itga5"
"Ntn41",0.00115727157007425,0.019426773431988,0.047,0.029,1,"6","Ntn4"
"Yipf51",0.00116283077409426,0.0497602742632141,0.558,0.503,1,"6","Yipf5"
"Gm10855",0.00116539962827735,0.00525824663835854,0.007,0.002,1,"6","Gm10855"
"Gm293941",0.00116908222750593,0.0217924206753995,0.074,0.05,1,"6","Gm29394"
"Gm44632",0.00117065969512598,0.00340038861213729,0.004,0.001,1,"6","Gm44632"
"Vmn1r200",0.00117065969512598,0.00340038861213729,0.004,0.001,1,"6","Vmn1r200"
"Gm9732",0.00117065969512598,0.00340038861213729,0.004,0.001,1,"6","Gm9732"
"Gm35019",0.00117065969512598,0.00340038861213729,0.004,0.001,1,"6","Gm35019"
"Gm496361",0.00117065969512598,0.00340038861213729,0.004,0.001,1,"6","Gm49636"
"Wtap1",0.00118604711293644,0.0512496679395896,0.677,0.632,1,"6","Wtap"
"Tpm21",0.00118913967157343,0.0391416769179592,0.188,0.15,1,"6","Tpm2"
"Zfyve271",0.00120203202966577,0.0355141548081887,0.185,0.146,1,"6","Zfyve27"
"Rnf1301",0.00120756061579228,0.0525243102557664,0.498,0.45,1,"6","Rnf130"
"Smarcc14",0.00121610026915678,0.0329692191759943,0.991,0.98,1,"6","Smarcc1"
"Rel1",0.00123233099019783,0.0358902478512578,0.206,0.163,1,"6","Rel"
"Heca1",0.00123406030504329,0.0485806095172929,0.274,0.232,1,"6","Heca"
"Tbccd11",0.00124263510495737,0.0445284225003114,0.319,0.272,1,"6","Tbccd1"
"Pias21",0.00124684529276616,0.0458195259439418,0.791,0.76,1,"6","Pias2"
"Tspan34",0.00126570270949065,0.0479800243806456,0.791,0.758,1,"6","Tspan3"
"Nmt22",0.00126979187674872,0.0520424188655803,0.707,0.665,1,"6","Nmt2"
"Colec121",0.00127306958676476,0.0538717429147821,0.804,0.73,1,"6","Colec12"
"Gm7967",0.00128271161862406,0.0103314896046382,0.017,0.007,1,"6","Gm7967"
"Gm15943",0.00129833749721005,0.00838584262647698,0.015,0.006,1,"6","Gm15943"
"Irx33",0.0013048803927439,0.0510263584256846,0.323,0.278,1,"6","Irx3"
"Duxbl3",0.00131152792674699,0.008912712126437,0.016,0.007,1,"6","Duxbl3"
"Zfp9731",0.00133530490297491,0.0124801444587976,0.026,0.013,1,"6","Zfp973"
"Camk2g2",0.00133644475439309,0.0462835561180853,0.404,0.353,1,"6","Camk2g"
"Pom1212",0.00134027369805198,0.0491723740747144,0.707,0.66,1,"6","Pom121"
"Neurl2",0.00136036151689984,0.012109507298521,0.025,0.013,1,"6","Neurl2"
"Sp3",0.00137019614369353,0.0403427706214875,0.795,0.788,1,"6","Sp3"
"Gpatch2l1",0.00137446457374337,0.0439014461279968,0.309,0.263,1,"6","Gpatch2l"
"Egflam1",0.00138636006293008,0.0350792731937639,0.214,0.172,1,"6","Egflam"
"Dhx301",0.00139404920921697,0.0472094226329854,0.62,0.573,1,"6","Dhx30"
"Vps451",0.00139414856213186,0.0364556979799315,0.175,0.137,1,"6","Vps45"
"Mex3c",0.00139569777849508,0.0509230660377198,0.585,0.547,1,"6","Mex3c"
"Col3a11",0.00141721116195134,0.016469385948474,0.039,0.023,1,"6","Col3a1"
"Nuf21",0.00141764417821182,0.0470383622633843,0.419,0.368,1,"6","Nuf2"
"Gm20629",0.00142308896373401,0.00463958815685612,0.006,0.002,1,"6","Gm20629"
"Gm32786",0.00142308896373401,0.00463958815685612,0.006,0.002,1,"6","Gm32786"
"Lix1l1",0.00143318024983112,0.0273835679687191,0.096,0.069,1,"6","Lix1l"
"Arhgap452",0.00143559886844063,0.0338925945459362,0.207,0.166,1,"6","Arhgap45"
"Elf13",0.00143605792674744,0.0481605844083109,0.269,0.225,1,"6","Elf1"
"Tiprl2",0.00145789439444564,0.0418664135715419,0.358,0.307,1,"6","Tiprl"
"Timp31",0.00146337551431838,0.0387257302011288,0.256,0.211,1,"6","Timp3"
"Cep120",0.00146429891538712,0.0495765230414544,0.509,0.467,1,"6","Cep120"
"Ptpn18",0.00146856470746013,0.020803764096206,0.06,0.039,1,"6","Ptpn18"
"Oprk1",0.00147020535258517,0.0149994245903557,0.033,0.019,1,"6","Oprk1"
"Tmem39a1",0.0015025364262845,0.0494790489999489,0.576,0.53,1,"6","Tmem39a"
"4930543E12Rik",0.00151288101094966,0.00462921443417497,0.005,0.001,1,"6","4930543E12Rik"
"Gm11335",0.00151506434821937,0.0113090266268398,0.023,0.011,1,"6","Gm11335"
"Gm17141",0.00151801019185521,0.00402030248524372,0.005,0.001,1,"6","Gm17141"
"B130011K05Rik",0.00151801019185521,0.00402030248524372,0.005,0.001,1,"6","B130011K05Rik"
"Gm13849",0.00151952279999119,0.00397920341501937,0.005,0.001,1,"6","Gm13849"
"Ror13",0.00152931060691285,0.0590741126726495,0.765,0.665,1,"6","Ror1"
"Btbd21",0.00152964363997949,0.0407589977041778,0.293,0.246,1,"6","Btbd2"
"Ndc80",0.00153612645223051,0.0470254810696203,0.478,0.421,1,"6","Ndc80"
"Ap4m11",0.00153676783548487,0.0425869014302609,0.266,0.223,1,"6","Ap4m1"
"Ftx2",0.00153822669134454,0.0549644352134625,0.688,0.639,1,"6","Ftx"
"Gabbr12",0.00154505779980749,0.0409447529525067,0.265,0.221,1,"6","Gabbr1"
"Ubtd11",0.00154969930622984,0.0302609282622833,0.138,0.105,1,"6","Ubtd1"
"Tspan21",0.00157156446584768,0.0327035131558293,0.241,0.195,1,"6","Tspan2"
"Sod21",0.00157226444307305,0.0470429517362452,0.379,0.332,1,"6","Sod2"
"Pxylp12",0.00158311531547376,0.0315545120880943,0.144,0.111,1,"6","Pxylp1"
"Gm11417",0.00159275640732177,0.0101831218592244,0.018,0.008,1,"6","Gm11417"
"Firre3",0.00159798977735081,0.0496278873452117,0.723,0.676,1,"6","Firre"
"Ezh23",0.00159800436856011,0.0358933468658866,0.966,0.952,1,"6","Ezh2"
"Slc25a241",0.00161513094067891,0.0392654928571372,0.256,0.212,1,"6","Slc25a24"
"Pde1c3",0.00161771270871033,0.0517656538313398,0.295,0.25,1,"6","Pde1c"
"Gm37571",0.00162568375751856,0.0182257564772185,0.048,0.03,1,"6","Gm37571"
"Dlg34",0.0016389022793925,0.0461088837513215,0.395,0.346,1,"6","Dlg3"
"B3gnt81",0.00164241670386187,0.0105646636646161,0.021,0.01,1,"6","B3gnt8"
"Golga41",0.00164306882913516,0.0479803312099814,0.698,0.664,1,"6","Golga4"
